시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
전라남도,영암군,해창농장,오리,,12000.0,전라남도 영암군 군서면 해창리,,,2015-07-02,2015-05-20
전라남도,영암군,행정농장,닭,육계,130000.0,전라남도 영암군 신북면 행정리,,,2015-07-02,2015-05-20
전라남도,영암군,형암농장,오리,,16000.0,전라남도 영암군 시종면 봉소리,,,2015-07-02,2015-05-20
전라남도,영암군,호서농장,오리,,30700.0,전라남도 영암군 시종면 봉소리,,,2015-07-02,2015-05-20
전라남도,영암군,홍균농장,닭,산란계,1500.0,전라남도 영암군 금정면 안노리,,,2015-07-02,2015-05-20
전라남도,영암군,화산농장,닭,육계,80000.0,전라남도 영암군 삼호읍 서창리,,,2015-07-02,2015-05-20
전라남도,영암군,황두성농장,닭,육계,45000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-20
전라남도,영암군,효산농장,오리,,15000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-20
전라남도,영암군,희규축산,오리,,8000.0,전라남도 영암군 군서면 도장리,,,2015-07-02,2015-05-20
전라남도,영암군,희망농장,오리,,15000.0,전라남도 영암군 도포면 원항리,,,2015-07-02,2015-05-20
전라남도,영암군,희망축사,오리,,20000.0,전라남도 영암군 시종면 신연리,,,2015-07-02,2015-05-20
전라남도,영암군,153농장,닭,육계,9300.0,전라남도 영암군 영암읍 농덕리,,,2015-07-02,2015-05-26
전라남도,영암군,가나안 농장,오리,,16000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02,2015-05-26
전라남도,영암군,갈곡농장,닭,육계,35000.0,전라남도 영암군 신북면 갈곡리,,,2015-07-02,2015-05-26
전라남도,영암군,건숙농장,오리,,17000.0,전라남도 영암군 금정면 안노리,,,2015-07-02,2015-05-26
전라남도,영암군,건향오리,오리,,52000.0,전라남도 영암군 신북면 행정리,,,2015-07-02,2015-05-26
전라남도,영암군,고산농장,닭,육계,37000.0,전라남도 영암군 서호면 성재리,,,2015-07-02,2015-05-26
전라남도,영암군,광주농장,오리,,7000.0,전라남도 영암군 영암읍 망호리,,,2015-07-02,2015-05-26
전라남도,영암군,귀봉농장,닭,육계,80000.0,전라남도 영암군 서호면 성재리,,,2015-07-02,2015-05-26
전라남도,영암군,그린농장,닭,육계,120000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,그린농장,오리,,20000.0,전라남도 영암군 덕진면 장선리,,,2015-07-02,2015-05-26
전라남도,영암군,그린축산,오리,,30000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02,2015-05-26
전라남도,영암군,금정농장,닭,산란계,54000.0,전라남도 영암군 도포면 덕화리,,,2015-07-02,2015-05-26
전라남도,영암군,금지오리,오리,,12000.0,전라남도 영암군 시종면 금지리,,,2015-07-02,2015-05-26
전라남도,영암군,기영농장,닭,육계,35000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,김두장,오리,,9000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,나영농장,오리,,12900.0,전라남도 영암군 시종면 신흥리,,,2015-07-02,2015-05-26
전라남도,영암군,나주뜰오리,오리,,30000.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,남경축산,오리,,22000.0,전라남도 영암군 신북면 갈곡리,,,2015-07-02,2015-05-26
전라남도,영암군,낭주농장,닭,육계,58000.0,전라남도 영암군 영암읍 송평리,,,2015-07-02,2015-05-26
전라남도,영암군,낭주오리농장,오리,,15000.0,전라남도 영암군 도포면 원항리,,,2015-07-02,2015-05-26
전라남도,영암군,농계농장,오리,,6500.0,전라남도 영암군 영암읍 송평리,,,2015-07-02,2015-05-26
전라남도,영암군,다솔,오리,,50000.0,전라남도 영암군 시종면 옥야리,,,2015-07-02,2015-05-26
전라남도,영암군,닭실털보농장,오리,,63000.0,전라남도 영암군 신북면 유곡리,,,2015-07-02,2015-05-26
전라남도,영암군,덕신영농조합법인,오리,,14400.0,전라남도 영암군 덕진면 장선리,,,2015-07-02,2015-05-26
전라남도,영암군,덕암농장,닭,육계,40000.0,전라남도 영암군 영암읍 장암리,,,2015-07-02,2015-05-26
전라남도,영암군,동산농장,오리,,11500.0,전라남도 영암군 영암읍 송평리,,,2015-07-02,2015-05-26
전라남도,영암군,만수자연농장,닭,산란계,1420.0,전라남도 영암군 시종면 만수리,,,2015-07-02,2015-05-26
전라남도,영암군,목림,오리,,17000.0,전라남도 영암군 신북면 학동리,,,2015-07-02,2015-05-26
전라남도,영암군,목원농장,오리,,18900.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,미류네 농장,닭,육계,50000.0,전라남도 영암군 서호면 몽해리,,,2015-07-02,2015-05-26
전라남도,영암군,미암농장,닭,육계,3000.0,전라남도 영암군 미암면 두억리,,,2015-07-02,2015-05-26
전라남도,영암군,미암메추리농장,메추리,,150000.0,전라남도 영암군 미암면 채지리,,,2015-07-02,2015-05-26
전라남도,영암군,민성양계장,닭,육계,55000.0,전라남도 영암군 학산면 금계리,,,2015-07-02,2015-05-26
전라남도,영암군,박치완농장,닭,육계,50000.0,전라남도 영암군 서호면 성재리,,,2015-07-02,2015-05-26
전라남도,영암군,반석축산,닭,육계,100000.0,전라남도 영암군 서호면 금강리,,,2015-07-02,2015-05-26
전라남도,영암군,백순애농장,오리,,30000.0,전라남도 영암군 도포면 성산리,,,2015-07-02,2015-05-26
전라남도,영암군,백호축산,닭,육계,70000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,범천농장,오리,,135000.0,전라남도 영암군 도포면 영호리,,,2015-07-02,2015-05-26
전라남도,영암군,벧엘농장,닭,육계,65000.0,전라남도 영암군 신북면 학동리,,,2015-07-02,2015-05-26
전라남도,영암군,벧엘농장,오리,,50000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02,2015-05-26
전라남도,영암군,부성축산,오리,,13000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,부영농장,닭,육계,30000.0,전라남도 영암군 금정면 연소리,,,2015-07-02,2015-05-26
전라남도,영암군,부희축산,닭,육계,90000.0,전라남도 영암군 학산면 묵동리,,,2015-07-02,2015-05-26
전라남도,영암군,산호농장,닭,육계,20000.0,전라남도 영암군 삼호읍호리,,,2015-07-02,2015-05-26
전라남도,영암군,삼도리농장,오리,,10000.0,전라남도 영암군 신북면 월평리,,,2015-07-02,2015-05-26
전라남도,영암군,삼성농장,오리,,12000.0,전라남도 영암군 군서면 도장리,,,2015-07-02,2015-05-26
전라남도,영암군,삼성농장,닭,육계,120000.0,전라남도 영암군 군서면 도장리,,,2015-07-02,2015-05-26
전라남도,영암군,삼성농장,오리,,10000.0,전라남도 영암군 군서면 도장리,,,2015-07-02,2015-05-26
전라남도,영암군,삼영농장,닭,육계,11200.0,전라남도 영암군 미암면 채지리,,,2015-07-02,2015-05-26
전라남도,영암군,상형축산,닭,육계,7000.0,전라남도 영암군 서호면 소산리,,,2015-07-02,2015-05-26
전라남도,영암군,서흥농장,오리,,16000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,선미농장,오리,,13000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,선일농장,오리,,14200.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,성용농장,닭,육계,60020.0,전라남도 영암군 서호면 소산리,,,2015-07-02,2015-05-26
전라남도,영암군,성윤농장,오리,,13900.0,전라남도 영암군 도포면 구학리,,,2015-07-02,2015-05-26
전라남도,영암군,성진농장,오리,,29000.0,전라남도 영암군 시종면 봉소리,,,2015-07-02,2015-05-26
전라남도,영암군,성환농장,닭,육계,27900.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,송정양계장,닭,육계,25000.0,전라남도 영암군 서호면 화송리,,,2015-07-02,2015-05-26
전라남도,영암군,수정농원,오리,,13000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02,2015-05-26
전라남도,영암군,수지농장,오리,,15000.0,전라남도 영암군 시종면 만수리,,,2015-07-02,2015-05-26
전라남도,영암군,승승농장,오리,,8500.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,신흥농장,오리,,15000.0,전라남도 영암군 시종면 신흥리,,,2015-07-02,2015-05-26
전라남도,영암군,알파덕,오리,,74800.0,전라남도 영암군 신북면 양계리,,,2015-07-02,2015-05-26
전라남도,영암군,애경농장,오리,,18000.0,전라남도 영암군 신북면 장산리,,,2015-07-02,2015-05-26
전라남도,영암군,애니피아 영농조합법인,닭,육계,45000.0,전라남도 영암군 금정면 세류리,,,2015-07-02,2015-05-26
전라남도,영암군,영성농장,닭,육계,150000.0,전라남도 영암군 신북면 월평리,,,2015-07-02,2015-05-26
전라남도,영암군,영신농장,닭,육계,45000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,영신농장,닭,육계,50000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,오리농장,오리,,20000.0,전라남도 영암군 신북면 학동리,,,2015-07-02,2015-05-26
전라남도,영암군,오리천국,오리,,25000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,오현농장,오리,,45000.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,옥주농장,닭,산란계,41030.0,전라남도 영암군 삼호읍 난전리,,,2015-07-02,2015-05-26
전라남도,영암군,용현농장,오리,,18000.0,전라남도 영암군 시종면 와우리,,,2015-07-02,2015-05-26
전라남도,영암군,우도농장,오리,,52000.0,전라남도 영암군 덕진면 용산리,,,2015-07-02,2015-05-26
전라남도,영암군,우리농장,오리,,15000.0,전라남도 영암군 영암읍 송평리,,,2015-07-02,2015-05-26
전라남도,영암군,우리농장,닭,육계,45000.0,전라남도 영암군 도포면 구학리,,,2015-07-02,2015-05-26
전라남도,영암군,원광2농장,오리,,22000.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,유산장농원,오리,,12000.0,전라남도 영암군 미암면 채지리,,,2015-07-02,2015-05-26
전라남도,영암군,이레농장,닭,육계,65000.0,전라남도 영암군 시종면 와우리,,,2015-07-02,2015-05-26
전라남도,영암군,일광농장,오리,,17045.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,장구섬농장,닭,육계,128000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,장수농장,오리,,25000.0,전라남도 영암군 도포면 구학리,,,2015-07-02,2015-05-26
전라남도,영암군,장천양계장,닭,육계,70000.0,전라남도 영암군 서호면 장천리,,,2015-07-02,2015-05-26
전라남도,영암군,정미농장,오리,,8100.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,정수농장,오리,,14000.0,전라남도 영암군 영암읍 망호리,,,2015-07-02,2015-05-26
전라남도,영암군,종욱농장,닭,육계,44900.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,지훈농장,오리,,10000.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,진성축산,오리,,20065.0,전라남도 영암군 덕진면 금강리,,,2015-07-02,2015-05-26
전라남도,영암군,진양계장,닭,육계,60000.0,전라남도 영암군 군서면 양장리,,,2015-07-02,2015-05-26
전라남도,영암군,천일농장,닭,산란계,28000.0,전라남도 영암군 도포면 구학리,,,2015-07-02,2015-05-26
전라남도,영암군,철진축산,오리,,15000.0,전라남도 영암군 덕진면 금강리,,,2015-07-02,2015-05-26
전라남도,영암군,춘양농장,닭,육계,2500.0,전라남도 영암군 영암읍 남풍리,,,2015-07-02,2015-05-26
전라남도,영암군,춘정농장,닭,육계,14000.0,전라남도 영암군 영암읍 장암리,,,2015-07-02,2015-05-26
전라남도,영암군,태산농장,닭,육계,92000.0,전라남도 영암군 시종면 봉소리,,,2015-07-02,2015-05-26
전라남도,영암군,태석농장,오리,,13000.0,전라남도 영암군 영암읍 송평리,,,2015-07-02,2015-05-26
전라남도,영암군,태성농장,닭,육계,500.0,전라남도 영암군 삼호읍호리,,,2015-07-02,2015-05-26
전라남도,영암군,태양농장,닭,산란계,64904.0,전라남도 영암군 삼호읍 동호리,,,2015-07-02,2015-05-26
전라남도,영암군,태흥농장,닭,육계,60000.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,태희농장,오리,,25000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,평안농장,닭,육계,150.0,전라남도 영암군 삼호읍 삼포리,,,2015-07-02,2015-05-26
전라남도,영암군,평엽농장,오리,,12000.0,전라남도 영암군 시종면 신연리,,,2015-07-02,2015-05-26
전라남도,영암군,하림농장,오리,,12000.0,전라남도 영암군 신북면 갈곡리,,,2015-07-02,2015-05-26
전라남도,영암군,하우리농장,오리,,70000.0,전라남도 영암군 신북면 월지리,,,2015-07-02,2015-05-26
전라남도,영암군,하은농장,오리,,24000.0,전라남도 영암군 도포면 구학리,,,2015-07-02,2015-05-26
전라남도,영암군,하정팜(form),오리,,20000.0,전라남도 영암군 시종면 신학리,,,2015-07-02,2015-05-26
전라남도,영암군,학산농장,닭,육계,120000.0,전라남도 영암군 학산면 용산리,,,2015-07-02,2015-05-26
전라남도,영암군,한마음농장,닭,육계,67147.0,전라남도 영암군 시종면 만수리,,,2015-07-02,2015-05-26
전라남도,영암군,해맑은농장,오리,,28000.0,전라남도 영암군 도포면 봉호리,,,2015-07-02,2015-05-26
전라남도,영암군,해바레축산 영농조합법인,오리,,15000.0,전라남도 영암군 덕진면 장선리,,,2015-07-02,2015-05-26
전라남도,영암군,해창농장,오리,,12000.0,전라남도 영암군 군서면 해창리,,,2015-07-02,2015-05-26
전라남도,영암군,행정농장,닭,육계,130000.0,전라남도 영암군 신북면 행정리,,,2015-07-02,2015-05-26
전라남도,영암군,형암농장,오리,,16000.0,전라남도 영암군 시종면 봉소리,,,2015-07-02,2015-05-26
전라남도,영암군,호서농장,오리,,30700.0,전라남도 영암군 시종면 봉소리,,,2015-07-02,2015-05-26
전라남도,영암군,홍균농장,닭,산란계,1500.0,전라남도 영암군 금정면 안노리,,,2015-07-02,2015-05-26
전라남도,영암군,화산농장,닭,육계,80000.0,전라남도 영암군 삼호읍 서창리,,,2015-07-02,2015-05-26
전라남도,영암군,황두성농장,닭,육계,45000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,효산농장,오리,,15000.0,전라남도 영암군 덕진면 노송리,,,2015-07-02,2015-05-26
전라남도,영암군,희규축산,오리,,8000.0,전라남도 영암군 군서면 도장리,,,2015-07-02,2015-05-26
전라남도,영암군,희망농장,오리,,15000.0,전라남도 영암군 도포면 원항리,,,2015-07-02,2015-05-26
전라남도,영암군,희망축사,오리,,20000.0,전라남도 영암군 시종면 신연리,,,2015-07-02,2015-05-26
전라남도,영암군,153농장,닭,육계,9300.0,전라남도 영암군 영암읍 농덕리,,,2015-07-02,2015-06-01
전라남도,영암군,가나안 농장,오리,,16000.0,전라남도 영암군 시종면 월롱리,,,2015-07-02,2015-06-01
